energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_m,loudness,valence,Genre
High,Vivace,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Medium-Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
High,Vivace,Low,Low,Low,3,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,Low,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-Low,Blues
Low,Andante,Low,High,Low,4,Low,DO Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
High,Moderato,Low,Low,Low,4,High,DO Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Vivace,Low,Medium,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-Low,Moderato,Low,Medium-Low,Low,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-Low,Country
Medium-High,Moderato,Low,Low,High,4,High,DO Major,[5 - 9.99],[0 - 19.99],Medium,Blues
Medium-Low,Andante,Low,High,Medium,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Low,High,4,Medium,FA Minor,[1 - 2.99],[0 - 19.99],Low,R&B
Medium-Low,Moderato,Low,Medium-High,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,High,High,4,Medium,LA Minor,[3 - 4.99],[0 - 19.99],Medium,Blues
High,Moderato,Low,Low,High,4,High,SOL Major,[5 - 9.99],[0 - 19.99],Low,Blues
High,Vivace,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,R&B
Medium,Vivace,Low,Low,Medium-Low,4,Medium,SI Major,[5 - 9.99],[0 - 19.99],Medium,Electronic
Medium-High,Andante,Low,Low,High,4,Low,MI Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium,Moderato,Low,Medium-Low,Low,4,High,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Blues
High,Vivace,Low,Medium-Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,Medium-High,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium,R&B
Medium,Andante,Medium-Low,Low,Low,4,High,FA Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Moderato,Low,Low,Low,4,Low,FA Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Low,Andante,Low,High,Medium-Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Country
Medium,Moderato,Low,Low,High,4,High,SOL Minor,[5 - 9.99],[0 - 19.99],Medium,Electronic
Medium-Low,Andante,Low,High,Low,4,Medium,MI Minor,>10,[20 - 39.99],Medium,Jazz
High,Moderato,Low,Low,Low,4,Low,RE Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Presto,Low,Low,Low,3,Low,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Blues
Medium-High,Andante,Low,Low,Medium,4,Medium,LA Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Rap
Medium-High,Andante,Low,High,High,4,Medium,RE Major,[5 - 9.99],[0 - 19.99],Medium-High,Electronic
High,Vivace,Low,Low,High,4,High,SOL Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,High,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,Medium,LA Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Rap
High,Vivace,Low,Low,Medium-High,4,Low,DO Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Andante,Low,Medium,Low,4,High,FA Major,[3 - 4.99],[0 - 19.99],High,Blues
High,Moderato,Low,Low,High,4,High,MI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Andante,Medium-Low,Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium-High,Rap
