energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,dance,key,duration_m,loudness,c,valence,mode,Genre,x,y
Medium-High,Moderato,Low,Low,High,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Jazz,0,0
Medium,Andante,Medium-Low,Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Presto,Low,Low,High,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-Low,Vivace,Medium-Low,High,Low,4,Medium,2,LA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
High,Vivace,Low,Medium-Low,Low,4,High,3,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium,Andante,Low,Low,Medium-High,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Blues,0,0
Medium-High,Presto,Medium-Low,Medium,Low,3,Medium,2,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
Medium-High,Vivace,Low,Medium-Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Rap,0,0
High,Moderato,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Low,Andante,Low,High,High,3,Low,1,LA,[3.0 _ 5.0],[20.0 _ 40.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium-High,Vivace,Medium,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,0,0
High,Vivace,Low,Low,Low,3,Low,1,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Minor,Blues,0,0
High,Vivace,Low,Low,Low,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Low,Andante,Low,High,Low,5,Low,1,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-Low,Vivace,Low,High,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Low,Andante,Low,High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Minor,Blues,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Medium-High,Andante,Low,Low,Low,3,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Jazz,0,0
High,Moderato,Low,Low,High,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Reggae,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,R&B,0,0
Medium,Moderato,Low,Low,High,4,High,3,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Rap,0,0
Medium,Moderato,Low,Medium-High,Medium-High,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium,Medium-High,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Rap,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,0,0
Medium-Low,Moderato,Low,Low,Medium-High,4,High,3,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Medium-High,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,R&B,0,0
Medium,Andante,Low,Medium-High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Jazz,0,0
Medium,Andante,Low,Medium-High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Country,0,0
Medium,Andante,Low,Medium-High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Low,Lento,Low,High,Low,3,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Medium-High,Moderato,Medium-Low,Medium,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Low,Andante,Low,High,Low,4,Low,1,RE,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Major,Jazz,0,0
High,Moderato,Low,Low,Medium,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-High,Low,3,Medium,2,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,0,0
High,Moderato,Low,Medium-Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Vivace,Low,Low,Medium,4,Low,1,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Country,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,High,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium-Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium,Andante,Low,High,Medium-High,1,Low,1,LA,>10,[20.0 _ 40.0],1,Medium,Minor,Pop/Rock,0,0
High,Andante,Low,Low,Low,4,Medium,2,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Minor,Blues,0,0
High,Moderato,Low,Low,High,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Rap,0,0
Medium-High,Andante,Low,Medium,Low,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Rap,0,0
Medium-High,Moderato,Low,Low,High,4,High,3,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-Low,Presto,Medium-Low,Low,Low,3,Medium,2,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-Low,Minor,Blues,0,0
High,Moderato,Low,Medium,Low,4,High,3,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Medium,Andante,Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Medium-Low,Andante,Low,High,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Country,0,0
Medium,Andante,Low,Low,High,4,High,3,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Electronic,0,0
High,Moderato,Low,Low,Low,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium,Andante,Low,Medium-Low,Low,3,Low,1,LA,>10,[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Low,Vivace,Low,High,Medium,5,Low,1,LA,[5.0 _ 10.0],[20.0 _ 40.0],1,Low,Minor,Jazz,0,0
High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Country,0,0
Medium,Moderato,Low,Medium-Low,Low,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-High,Vivace,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium,Andante,Low,Low,High,3,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Rap,0,0
High,Moderato,Low,Low,Low,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium,Andante,Low,Medium,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Country,0,0
Medium-Low,Moderato,Low,High,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium,Moderato,Low,Low,High,4,High,3,FA,[5.0 _ 10.0],[20.0 _ 40.0],1,Low,Minor,International,0,0
Low,Presto,Low,Medium-High,Low,5,Low,1,SOL,>10,[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Andante,Low,Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,R&B,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Lento,Low,Low,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium-High,Low,4,Medium,2,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Minor,Blues,0,0
Medium,Moderato,Low,Low,Low,4,High,3,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Minor,R&B,0,0
Medium,Moderato,Low,High,High,4,Medium,2,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Rap,0,0
Medium,Moderato,Low,Medium-High,High,4,High,3,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Low,Moderato,Low,High,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
Medium-Low,Andante,Low,Medium-High,Low,4,Medium,2,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Minor,Blues,0,0
Medium,Andante,Medium,Low,Low,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,R&B,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,RE,<1,[0.0 _ 20.0],1,High,Major,Country,0,0
Medium-Low,Andante,Low,High,Medium,4,Medium,2,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Jazz,0,0
High,Moderato,Low,Low,Low,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Low,Moderato,Low,High,Low,3,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Blues,0,0
Medium-High,Moderato,Low,Low,Medium-High,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Electronic,0,0
Medium-High,Andante,Low,High,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Medium-High,4,Medium,2,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium,Moderato,Medium-Low,Low,Medium,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Country,0,0
Medium-Low,Vivace,Low,High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium,High,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Jazz,0,0
Medium-High,Vivace,Low,Low,Low,4,Low,1,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Low,Lento,Low,High,High,4,Low,1,DO,[1.0 _ 3.0],[20.0 _ 40.0],1,Low,Major,Country,0,0
Low,Andante,Low,Medium-High,Low,5,Low,1,RE,<1,[20.0 _ 40.0],1,Low,Minor,Blues,0,0
High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium,Moderato,Low,Medium-Low,Low,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
High,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-High,Andante,Medium-Low,Low,Low,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,High,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium,Medium,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Jazz,0,0
High,Vivace,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,High,Low,4,Medium,2,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Medium,Andante,Low,Medium-High,Medium,3,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Country,0,0
Medium-Low,Andante,Low,High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium,Moderato,Low,Medium,Low,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Blues,0,0
Medium-High,Andante,Low,Medium,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium,Andante,Low,Medium,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Low,Andante,Low,High,Low,4,Low,1,RE,>10,[0.0 _ 20.0],1,Low,Major,Jazz,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,High,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Rap,0,0
High,Moderato,Low,Low,Medium-High,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,R&B,0,0
Medium-Low,Moderato,Low,High,Low,3,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Minor,Blues,0,0
Medium,Presto,Medium-Low,Medium-High,Low,4,Medium,2,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,2,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Minor,Reggae,0,0
Medium,Andante,Low,Low,Low,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Blues,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,High,Low,3,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
High,Andante,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
Medium-High,Moderato,Low,Medium-Low,High,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Minor,Blues,0,0
High,Vivace,Low,Low,Low,4,Low,1,LA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Electronic,0,0
High,Moderato,Low,Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium,Andante,Medium,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,International,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
High,Moderato,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,3,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Vivace,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium,Moderato,Low,Low,Medium,4,Medium,2,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Electronic,0,0
High,Andante,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
High,Andante,Low,Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,High,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,International,0,0
Medium-Low,Andante,Low,High,Low,4,Medium,2,LA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,Medium,4,High,3,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Rap,0,0
High,Moderato,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Andante,Medium-Low,Low,Low,3,Low,1,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Presto,Low,Low,Low,4,Low,1,RE,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Moderato,Medium-Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
High,Moderato,Low,Low,High,4,High,3,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
High,Andante,Medium-Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
High,Vivace,Medium-Low,Low,Low,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
High,Moderato,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium-Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,High,Medium-High,3,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Jazz,0,0
Medium,Andante,Low,Medium-Low,Medium-High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,R&B,0,0
Medium-Low,Andante,Low,Medium-High,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Medium,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
High,Vivace,Low,Medium-High,High,4,Medium,2,SI,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Minor,Blues,0,0
Low,Andante,Low,High,High,3,Low,1,SI,[3.0 _ 5.0],[20.0 _ 40.0],1,Low,Minor,Jazz,0,0
Medium-Low,Andante,Low,High,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium,Andante,Low,High,Low,4,Medium,2,LA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium,Moderato,Low,High,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Country,0,0
Medium,Moderato,Low,Medium-Low,Low,3,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Low,Presto,Low,Medium,High,4,Medium,2,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium,Andante,Low,Low,High,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium,Medium,4,High,3,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Minor,Blues,0,0
Medium,Andante,Low,Low,Medium,4,High,3,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
Medium-High,Moderato,Low,Low,High,4,High,3,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium,Moderato,Low,Low,Low,4,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
High,Presto,Medium-High,Medium-Low,Low,4,Medium,2,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium,Vivace,Low,Medium,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Electronic,0,0
Medium-High,Vivace,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Electronic,0,0
Medium,Andante,Low,Medium-Low,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Rap,0,0
Medium,Vivace,Low,Medium-High,High,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Blues,0,0
High,Moderato,Low,Low,Medium-High,4,High,3,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium,Moderato,High,Medium-High,Low,5,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Medium-High,Andante,Medium-Low,Medium-Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Medium,Low,Low,4,Medium,2,SI,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
High,Presto,Medium-Low,Medium-Low,Low,4,Medium,2,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Andante,Medium-Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
High,Andante,Low,Low,High,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Rap,0,0
Medium-High,Moderato,Low,Low,Medium-High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Medium,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium,Moderato,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Jazz,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Andante,Low,Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Low,Andante,Low,High,Medium-High,4,Low,1,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
