energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,dance,key,duration_m,loudness,c,valence,mode,Genre,x,y
Medium-Low,Moderato,Low,Low,Low,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Medium-High,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Electronic,1,1
High,Moderato,Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Reggae,1,1
High,Moderato,Low,Low,High,4,Low,1,MI,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,RE,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Low,Lento,Low,High,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Minor,Jazz,0,0
Low,Andante,Low,High,High,4,Low,1,SOL,[3.0 _ 5.0],[20.0 _ 40.0],1,Low,Major,Pop/Rock,0,0
High,Moderato,Low,Medium-Low,High,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Blues,0,0
High,Moderato,Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium,Moderato,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Vivace,Low,Low,Low,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium-Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
High,Vivace,Low,Low,Low,3,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,Low,1,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium,Andante,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Low,Andante,Low,High,Low,4,Low,1,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Medium-High,Vivace,Low,Medium,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-Low,Low,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Country,1,1
Medium-High,Moderato,Low,Low,High,4,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Blues,0,0
Medium-Low,Andante,Low,High,Medium,4,Medium,2,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,High,4,Medium,2,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Minor,R&B,0,0
